Name,Region,Population (rounded)*,Postcode,Ethnic Breakdown 2016,Median House Price (2020),Median House Price (2021),% Change,Median House Rent (per week),Median Apartment Price (2020),Median Apartment Rent (per week),Public Housing %,Avg. Years Held,Time to CBD (Public Transport) [Town Hall St],Time to CBD (Driving) [Town Hall St],Nearest Train Station,Highlights/Attractions,Ideal for,Traffic,Public Transport,Affordability (Rental),Affordability (Buying),Nature,Noise,Things to See/Do,Family-Friendliness,Pet Friendliness,Safety,Overall Rating,Review Link
Como,Sutherland Shire,"4,250",2226,"English 29.2%, Australian 28.2%, Irish 11.2%, Scottish 6.9%, Chinese 3.0%","$1,200,000.00","$1,500,000.00",25.00%,$660.00,"$650,000.00",$510.00,0%,16.6,35,40,Como,"Como Pleasure Grounds, Como Hotel","Families, small families, retirees, professionals",7,6,5,4,9,8,2,8,7,9,6.5,https://sydneysuburbreviews.com/como
Cronulla,Sutherland Shire,"19,000",2230,"English 28.5%, Australian 24.5%, Irish 10.9%, Scottish 7.4%, Italian 3.0%","$1,900,000.00","$2,300,000.00",21.05%,"$1,050.00","$790,000.00",$500.00,1%,12,55,45,Cronulla,Multiple great beaches; Esplanade walk; waterfront parks,"Young professionals, families, retirees, university students",3,6,5,3,10,6,9,8,9,6,6.5,https://sydneysuburbreviews.com/cronulla
Gymea,Sutherland Shire,"8,000",2227,"English 27.0%, Australian 25.3%, Irish 10.6%, Scottish 6.6%, Italian 3.6%","$1,200,000.00","$1,350,000.00",12.50%,$670.00,"$735,000.00",$510.00,3%,16.2,45,45,Gymea,"Gymea Bay Road dining, Hazlehurst Regional Gallery & Arts Centre","Families, small families, professionals, young professionals",5,6,6,5,6,7,7,8,7,8,6.5,https://sydneysuburbreviews.com/gymea
Kirrawee,Sutherland Shire,"9,500",2232,"English 28.9%, Australian 26.9%, Irish 9.8%, Scottish 7.1%, Chinese 2.9%","$1,150,000.00","$1,350,000.00",17.39%,$670.00,"$710,000.00",$520.00,6%,12,40,40,Kirrawee,"South Village, boutique dining & breweries","Families, small families, professionals, retirees",4,6,5,5,7,6,7,8,9,8,6.5,
Lugarno,Southern Suburbs,"5,750",2210,"English 22.6%, Australian 21.3%, Irish 8.6%, Greek 7.2%, Scottish 5.4%","$1,200,000.00","$1,500,000.00",25.00%,$600.00,,,2%,15.6,60,35,Mortdale,"HV Evatt Park, waterfront views & boardwalk","Families, retirees",5,3,6,5,9,8,3,8,8,10,6.5,https://sydneysuburbreviews.com/lugarno
Penshurst,Southern Suburbs,"13,000",2222,"Chinese 20.4%, English 13.2%, Australian 12.1%, Nepalese 5.9%, Irish 5.3%","$1,150,000.00","$1,350,000.00",17.39%,$610.00,"$590,000.00",$420.00,1%,17.5,25,35,Penshurst,Olds Park,"Small families, families, professionals, retirees",6,7,6,6,7,5,4,8,8,8,6.5,https://sydneysuburbreviews.com/penshurst
Rouse Hill,Hills Shire,"12,000",2155,"English 22.8%, Australian 22.4%, Irish 6.8%, Scottish 5.4%, Chinese 4.1%","$925,000.00","$1,150,000.00",24.32%,$600.00,"$720,000.00",$480.00,0%,9.2,55,60,Rouse Hill (Metro),"Rouse Hill Town Centre, Rouse Hill Regional Park","Families, small families, retirees",3,4,6,6,8,7,7,9,8,7,6.5,https://sydneysuburbreviews.com/rouse-hill
Wahroonga,Upper North Shore,"17,500",2076,"English 25.1%, Australian 19.5%, Chinese 9.4%, Irish 8.4%, Scottish 7.7%","$2,050,000.00","$2,300,000.00",12.20%,$875.00,"$850,000.00",$570.00,0%,11.9,40,35,Wahroonga,Historic mansions,"Families, professionals, retirees",5,6,4,2,9,8,4,9,9,9,6.5,https://sydneysuburbreviews.com/wahroonga
Beecroft,Hills Shire,"10,000",2119,"English 23.1%, Australian 19.3%, Chinese 14.3%, Irish 8.2%, Scottish 6.8%","$1,700,000.00","$2,100,000.00",23.53%,$760.00,"$980,000.00",$500.00,0%,12.8,45,30,Beecroft,Pennant Hills Golf Club,"Retirees, families",4,6,4,3,9,10,2,9,8,9,6.4,https://sydneysuburbreviews.com/beecroft
Carlton,Southern Suburbs,"11,000",2218,"Chinese 18.8%, English 10.9%, Australian 10.7%, Greek 6.8%, Macedonian 5.1%","$1,250,000.00","$1,400,000.00",12.00%,$590.00,"$655,000.00",$465.00,2%,14.7,30,25,Carlton,Jubilee Oval,"Families, small families, retirees, professionals",5,6,6,5,6,8,4,8,8,8,6.4,https://sydneysuburbreviews.com/carlton
Killara,Northern Suburbs,"11,000",2071,"English 21.0%, Chinese 20.2%, Australian 16.7%, Irish 7.0%, Scottish 6.1%","$2,650,000.00","$2,950,000.00",11.32%,"$1,100.00","$890,000.00",$625.00,0,13.7,25,25,Killara,"Swain Gardens, Lane Cove National Park","Retirees, professionals, families",7,6,4,2,9,9,2,8,8,9,6.4,https://sydneysuburbreviews.com/killara
Lindfield,North Shore,"10,000",2070,"English 22.0%, Australian 18.3%, Chinese 17.1%, Irish 7.9%, Scottish 6.6%","$2,850,000.00","$3,150,000.00",10.53%,"$1,000.00","$1,000,000.00",$620.00,0%,13.2,35,25,Lindfield,Lane Cove National Park,"Families, retirees",6,6,3,2,8,9,3,9,9,9,6.4,https://sydneysuburbreviews.com/lindfield
Wollstonecraft,Lower North Shore,"8,750",2065,"English 23.3%, Australian 17.2%, Irish 9.7%, Chinese 8.5%, Scottish 7.5%","$2,600,000.00","$2,900,000.00",11.54%,"$1,225.00","$1,050,000.00",$615.00,2%,11.4,10,15,Wollstonecraft,Berry Island Reserve,"Retirees, professionals, families",6,7,5,3,8,9,1,8,8,9,6.4,https://sydneysuburbreviews.com/wollstonecraft
Drummoyne,Inner West,"12,500",2047,"English 21.7%, Australian 17.6%, Irish 10.0%, Italian 7.3%, Scottish 6.7%","$1,950,000.00","$2,350,000.00",20.51%,$830.00,"$1,050,000.00",$610.00,1%,14.9,15,12,Drummoyne Wharf (ferry),"Birkenhead Point, Drummoyne Oval, water views, some gorgeous homes","Professionals, families, retirees",2,6,4,3,9,4,8,9,9,9,6.3,https://sydneysuburbreviews.com/drummoyne
Epping,Northern Suburbs,"25,000",2121,"Chinese 31.0%, English 13.5%, Australian 11.9%, Korean 7.9%, Indian 6.4%","$1,650,000.00","$1,900,000.00",15.15%,$700.00,"$790,000.00",$550.00,1%,14.7,50,30,Epping (metro),"Forest Park, The Epping Club","Professionals, families, small families",3,8,4,4,7,6,6,8,9,8,6.3,https://sydneysuburbreviews.com/epping
Gladesville,North Shore,"12,000",2111,"English 20.4%, Australian 20.0%, Irish 9.2%, Chinese 7.1%, Italian 7.0%","$1,900,000.00","$2,300,000.00",21.05%,$725.00,"$700,000.00",$450.00,7%,13.4,30,25,N/A,"Waterfront parklands, historic sections","Professionals, young professionals, families, small families",4,5,6,3,9,6,7,8,7,8,6.3,https://sydneysuburbreviews.com/gladesville
Haberfield,Inner West,"6,750",2045,"Italian 24.0%, Australian 18.2%, English 17.8%, Irish 9.2%, Scottish 5.4%","$2,100,000.00","$2,350,000.00",11.90%,$800.00,,$450.00,2%,15.4,30,15,Marion (light rail),"Bay Run, Italian dining, heritage homes","Families, professionals, retirees",3,7,3,3,8,5,8,8,9,9,6.3,https://sydneysuburbreviews.com/haberfield
Kirribilli,Lower North Shore,"4,000",2061,"English 26.1%, Australian 15.1%, Irish 10.4%, Scottish 7.0%, Chinese 5.9%","$2,800,000.00","$3,400,000.00",21.43%,"$1,300.00","$1,400,000.00",$650.00,13%,,20,15,Milsons Point,"Mary Booth Reserve, Kirribilli Markets","Professionals, families",5,8,2,1,8,8,5,9,9,8,6.3,https://sydneysuburbreviews.com/kirribilli
Menai,Sutherland Shire,"11,000",2234,"Australian 25.6%, English 25.0%, Irish 8.1%, Scottish 6.3%, Italian 4.0%","$1,000,000.00","$1,200,000.00",20.00%,$710.00,"$720,000.00",$550.00,4%,13.2,65,40,Sutherland,Menai Marketplace,"Families, small families, retirees",5,3,5,7,6,8,5,8,7,9,6.3,https://sydneysuburbreviews.com/menai
Turramurra,North Shore,"12,000",2074,"English 26.6%, Australian 20.1%, Chinese 9.3%, Irish 8.9%, Scottish 7.5%","$2,000,000.00","$2,400,000.00",20.00%,$920.00,"$860,000.00",$580.00,0%,12.4,35,35,Turramurra,Numerous excellent parks and reserves,"Families, professionals, retirees",5,6,4,2,9,9,3,8,9,8,6.3,https://sydneysuburbreviews.com/turramurra
Manly,Northern Beaches,"16,500",2095,"English 29.3%, Australian 16.6%, Irish 10.4%, Scottish 8.0%, German 3.8%","$2,900,000.00","$3,200,000.00",10.34%,"$1,450.00","$1,350,000.00",$750.00,3%,13.2,45,50,Manly (ferry),"Manly Beach, Shelly Beach, Freshwater Beach, Quarantine Station","Professionals, families, retirees",3,4,3,2,10,8,8,9,9,9,6.22,https://sydneysuburbreviews.com/manly
Botany,Southern Suburbs,"11,000",2019,"English 20.1%, Australian 20.0%, Irish 8.7%, Scottish 5.3%, Chinese 5.1%","$1,500,000.00","$1,700,000.00",13.33%,$780.00,"$790,000.00",$600.00,6%,10.6,35,20,Mascot,"Sir Joseph Banks Park, forshore views","Families, retirees, professionals",3,4,4,4,9,7,6,8,9,8,6.2,https://sydneysuburbreviews.com/botany
Caringbah,Sutherland Shire,"12,000",2229,"English 27.6%, Australian 25.6%, Irish 9.8%, Scottish 6.5%, Italian 3.0%","$1,200,000.00","$1,500,000.00",25.00%,$700.00,"$690,000.00",$510.00,7%,12.6,50,40,Caringbah,,"Retirees, professionals, families",6,6,6,4,6,8,2,8,8,8,6.2,https://sydneysuburbreviews.com/caringbah
Denistone,North Shore,"4,000",2114,"Chinese 20.1%, English 18.9%, Australian 16.1%, Irish 8.4%, Scottish 5.3%","$1,550,000.00","$2,000,000.00",29.03%,$720.00,"$980,000.00",$610.00,0%,13.2,30,25,Denistone,Darvall Park,"Retirees, families, professionals",6,6,3,3,8,9,3,7,8,9,6.2,https://sydneysuburbreviews.com/denistone/
Double Bay,Eastern Suburbs,"5,000",2028,"English 24.1%, Australian 15.8%, Irish 8.7%, Scottish 7.3%, Chinese 4.0%","$3,600,000.00","$4,200,000.00",16.67%,"$1,700.00","$1,300,000.00",$750.00,0%,14,20,15,Edgecliff,"Steyne Park, period homes, drinking & dining","Professionals, families, retirees",4,7,2,1,8,8,5,9,9,9,6.2,https://sydneysuburbreviews.com/double-bay
Eastwood,North Shore,"18,000",2122,"Chinese 38.4%, English 11.2%, Australian 10.1%, Korean 8.2%, Irish 4.2%","$1,600,000.00","$1,950,000.00",21.88%,$690.00,"$750,000.00",$450.00,4%,13,35,30,Eastwood,"Endless dining options, multiple parklands, Brickyard redevelopment","Families, retirees, professionals",2,6,6,3,8,6,7,9,8,7,6.2,https://sydneysuburbreviews.com/eastwood
Kogarah,Southern Suburbs,"15,500",2217,"Chinese 28.1%, English 8.9%, Australian 8.6%, Greek 6.3%, Nepalese 4.4%","$1,150,000.00","$1,400,000.00",21.74%,$600.00,"$620,000.00",$470.00,1%,17.2,22,25,Kogarah,"Scarborough Park, Bruce Lee Statue","Professionals, young professionals, small families, families",4,7,7,6,6,5,6,8,6,7,6.2,https://sydneysuburbreviews.com/kogarah
Lane Cove,Lower North Shore,"11,000",2066,"English 23.4%, Australian 18.3%, Irish 9.2%, Chinese 8.2%, Scottish 6.6%","$2,250,000.00","$2,600,000.00",15.56%,$880.00,"$810,000.00",$550.00,1%,14,30,20,Artarmon,Lane Cove National Park,"Families, professionals, retirees",3,4,4,3,8,8,5,9,9,9,6.2,https://sydneysuburbreviews.com/lane-cove
Miranda,Sutherland Shire,"15,500",2228,"English 25.0%, Australian 22.7%, Irish 8.2%, Scottish 5.7%, Chinese 4.5%","$1,150,000.00","$1,400,000.00",21.74%,$715.00,"$650,000.00",$490.00,6%,11.5,45,40,Miranda,Westfield Miranda,"Professionals, families, small families",3,7,6,6,7,7,8,7,6,5,6.2,https://sydneysuburbreviews.com/miranda
Roseville,North Shore,"10,500",2069,"English 23.2%, Australian 19.6%, Chinese 13.8%, Irish 8.7%, Scottish 6.9%","$2,500,000.00","$2,900,000.00",16.00%,"$1,100.00","$925,000.00",$605.00,0%,15.3,22,25,Roseville,Roseville Cinemas,"Families, small families, retirees",5,6,3,2,8,8,3,9,8,10,6.2,https://sydneysuburbreviews.com/roseville
Sans Souci,Southern Suburbs,"10,500",2219,"English 16.4%, Australian 16.2%, Greek 14.4%, Irish 6.2%, Italian 4.6%","$1,450,000.00","$1,700,000.00",17.24%,$690.00,"$760,000.00",$495.00,3%,12.7,50,30,Kogarah,"Cook Park, various yacht/sailing clubs, waterfront views","Small families, families, professionals, retirees",4,2,6,4,9,7,7,7,8,8,6.2,https://sydneysuburbreviews.com/sans-souci
Woolooware,Sutherland Shire,"4,000",2230,"English 29.9%, Australian 27.3%, Irish 9.8%, Scottish 7.6%, Italian 3.0%","$1,700,000.00","$2,000,000.00",17.65%,$900.00,"$750,000.00",$540.00,0%,15,50,40,Woolooware,Shark Park,"Families, retirees",4,6,5,4,7,8,4,8,8,8,6.2,https://sydneysuburbreviews.com/woolooware/
Milperra,Western Suburbs,"4,000",2214,"Australian 28.5%, English 25.3%, Irish 9.4%, Scottish 5.8%, Lebanese 3.1%","$855,000.00","$975,000.00",14.04%,$560.00,,,0%,14.4,55,35,Panania,Newland Reserve,"Families, small families",4,3,7,7,6,7,5,8,8,7,6.2,https://sydneysuburbreviews.com/milperra/
Annandale,Inner West,"10,000",2038,"English 24.9%, Australian 20.0%, Irish 10.8%, Scottish 7.5%, Italian 4.0%","$1,650,000.00","$1,900,000.00",15.15%,$800.00,"$850,000.00",$500.00,2%,12,20,12,Rozelle Bay (Light Rail),"Historic houses, Annandale Hotel, Annandale Galleries","Retirees, professionals, families",5,3,5,3,8,5,5,9,9,9,6.1,https://sydneysuburbreviews.com/annandale
Carlingford,Western Suburbs,"25,000",2118,"Chinese 32.0%, English 13.2%, Australian 12.2%, Korean 5.6%, Irish 4.3%","$1,300,000.00","$1,600,000.00",23.08%,$610.00,"$700,000.00",$500.00,2%,16.6,55,30,Carlingford (soon to close),"Balaka Falls, bushwalks & cycling tracks","Families, small families, retirees, professionals",4,3,6,4,8,6,8,8,7,7,6.1,https://sydneysuburbreviews.com/calingford
Kingsgrove,Southern Suburbs,"12,500",2208,"Greek 17.2%, Chinese 15.0%, Australian 10.7%, English 9.6%, Italian 6.7%","$1,200,000.00","$1,500,000.00",25.00%,$610.00,"$620,000.00",$470.00,6%,18.2,30,30,Kingsgrove,"Clemton Park, Bexley Golf Club","Small families, families, retirees",3,7,6,5,7,6,6,7,8,6,6.1,https://sydneysuburbreviews.com/kingsgrove
Lidcombe,Western Suburbs,"20,000",2141,"Chinese 23.1%, Korean 16.0%, English 5.8%, Australian 5.7%, Vietnamese 4.3%","$1,000,000.00","$1,250,000.00",25.00%,$555.00,"$675,000.00",$510.00,3%,13.4,25,30,Lidcombe,"Brooks Circuit Park, Asian dining, big-box services & shopping","Professionals, young professionals, uni students, families",2,8,7,7,5,4,10,6,6,6,6.1,https://sydneysuburbreviews.com/lidcombe
Lilyfield,Inner West,"8,000",2040,"English 24.7%, Australian 20.8%, Irish 11.0%, Scottish 7.3%, Italian 5.6%","$1,700,000.00","$2,000,000.00",17.65%,$835.00,"$930,000.00",$530.00,11%,12,25,10,Lilyfield (light rail),"Numerous excellent parks, waterfront areas, Le Montage","Professionals, small families, families",3,5,6,3,8,4,7,8,9,8,6.1,https://sydneysuburbreviews.com/lilyfield
Randwick,Eastern Suburbs,"32,000",2031,"English 21.3%, Australian 15.3%, Irish 12.4%, Scottish 6.2%, Chinese 6.0%","$2,550,000.00","$2,950,000.00",15.69%,$950.00,"$960,000.00",$600.00,1%,12.1,25 minuntes,20,Randwick (light rail),"Multiple dining hubs, historic architecture, Royal Randwick Racecourse","Families, professionals, young professionals, university students",3,6,4,2,7,6,9,8,8,8,6.1,https://sydneysuburbreviews.com/randwick
Rozelle,Inner West,"9,000",2039,"English 26.6%, Australian 18.7%, Irish 11.4%, Scottish 7.9%, Chinese 3.0%","$1,700,000.00","$2,000,000.00",17.65%,$815.00,"$1,150,000.00",$595.00,2%,11.3,15,10,,"Bay Run, Rozelle Markets, waterfront parklands","Families, small families, professionals",3,5,4,3,8,5,9,9,9,6,6.1,https://sydneysuburbreviews.com/rozelle
Waitara,Upper North Shore,"6,000",2077,"Chinese 20.0%, English 12.3%, Indian 10.7%, Australian 9.1%, Iranian 5.0%","$1,500,000.00","$1,800,000.00",20.00%,$690.00,"$670,000.00",$480.00,3%,12,45,50,Waitara,Waitara Park Playground/Hornsby Rugby Club,"Small families, professionals, retirees",4,6,6,3,6,6,6,8,7,9,6.1,https://sydneysuburbreviews.com/waitara
Balmain,Inner West,"10,500",2041,"English 23.4%, Australian 17.3%, Irish 7.8%, Scottish 6.0%, Chinese 3.3%","$1,900,000.00","$2,200,000.00",15.79%,$890.00,"$1,000,000.00",$650.00,6%,12.3,15,15,"Rozelle Bay (Light Rail), Balmain East Wharf","Thornton Park, Balmain Market, Misc. historic buildings","Retirees, professionals, smaller families",4,4,3,2,7,8,8,8,8,8,6,https://sydneysuburbreviews.com/balmain
Bangor,Sutherland Shire,"6,000",2234,"Australian 27.9%, English 27.5%, Irish 9.7%, Scottish 7.5%, Italian 3.4%","$1,000,000.00","$1,250,000.00",25.00%,$700.00,"$830,000.00",$630.00,7%,14,55,45,Sutherland,N/A,"Retirees, families",6,2,6,6,7,8,2,8,8,7,6,
Bexley,Southern Suburbs,"20,500",2207,"Chinese 11.1%, Australian 10.9%, English 10.7%, Lebanese 9.1%, Greek 7.6%","$1,100,000.00","$1,400,000.00",27.27%,$610.00,"$640,000.00",$460.00,1%,11.4,35,30,Kogarah,"Bexley Park, Bexley Golf Club","Professionals, families, small families, retirees",4,5,6,6,6,6,5,8,8,6,6,https://sydneysuburbreviews.com/bexley
Blakehurst,Southern Suburbs,"6,500",2221,"Chinese 14.7%, English 14.1%, Greek 13.9%, Australian 13.8%, Irish 5.6%","$1,600,000.00","$1,800,000.00",12.50%,$770.00,"$805,000.00",$460.00,1%,12.4,50,30,Hurstville,"Waterfront views, majestic homes","Families, retirees",4,4,5,3,8,7,4,7,8,10,6,https://sydneysuburbreviews.com/blakehurst
Canterbury,Western Suburbs,"7,250",2193,"Chinese 13.3%, English 10.6%, Australian 10.5%, Greek 7.7%, Irish 4.7%","$1,300,000.00","$1,500,000.00",15.38%,$600.00,"$650,000.00",$500.00,1%,19.2,25,20,Canterbury,"Multiple parklands, Canterbury Park Racecourse","Families, small families, retirees, professionals",4,6,6,5,7,6,5,8,8,5,6,https://sydneysuburbreviews.com/canterbury
Castle Hill,Hills Shire,"40,000",2154,"English 20.0%, Australian 17.2%, Chinese 12.1%, Irish 6.7%, Scottish 5.3%","$1,500,000.00","$1,750,000.00",16.67%,$690.00,"$845,000.00",$550.00,0%,13.9,45,40,Castle Hill (Metro),"Castle Hill Heritage Park, Castle Hill Showground","Families, small families, retirees",2,6,5,3,7,6,6,9,8,8,6,https://sydneysuburbreviews.com/castle-hill
Kensington,Eastern Suburbs,"15,000",2033,"Chinese 21.2%, English 14.2%, Australian 12.5%, Irish 7.5%, Scottish 3.9%","$2,650,000.00","$3,000,000.00",13.21%,$920.00,"$850,000.00",$585.00,2%,15,20,15,Kensington (light rail),"Historic religious buildings, large public parks & amenities","Professionals, university students, retirees, families",5,7,4,2,7,5,8,8,7,7,6,https://sydneysuburbreviews.com/kensington/
Mortdale,Southern Suburbs,"10,500",2223,"English 18.1%, Australian 16.4%, Chinese 13.6%, Irish 6.7%, Scottish 4.4%","$1,150,000.00","$1,300,000.00",13.04%,$600.00,"$595,000.00",$420.00,1%,14.9,25,30,Mortdale,Hurstville Golf Course,"Small families, families, professionals",4,7,7,7,5,6,3,8,6,7,6,https://sydneysuburbreviews.com/mortdale
Revesby,Western Suburbs,"14,500",2212,"Australian 17.0%, English 15.3%, Chinese 9.9%, Lebanese 6.8%, Irish 5.1%","$940,000.00","$1,100,000.00",17.02%,$590.00,"$715,000.00",$475.00,11%,12.3,30,35,Revesby,"Central shopping/dining hub, Worker's Club","Families, retirees",3,8,6,6,6,6,6,7,7,5,6,https://sydneysuburbreviews.com/revesby
Ryde,Northern Suburbs,"28,000",2112,"Chinese 15.5%, English 14.7%, Australian 13.4%, Italian 6.9%, Irish 5.5%","$1,450,000.00","$1,750,000.00",20.69%,$675.00,"$670,000.00",$490.00,4%,13.3,45,30,West Ryde,"Top Ryde Shopping Centre, Ryde Park","Professionals, university students, small families",3,6,5,4,6,7,8,7,6,8,6,https://sydneysuburbreviews.com/ryde
Sutherland,Sutherland Shire,"11,500",2232,"English 25.3%, Australian 24.3%, Irish 8.8%, Scottish 6.6%, Chinese 3.6%","$1,000,000.00","$1,200,000.00",20.00%,$580.00,"$600,000.00",$460.00,5%,10.9,35,45,Sutherland,"Sutherland Leisure Centre, river views","Families, small families, professionals",4,7,6,6,6,5,5,8,8,5,6,https://sydneysuburbreviews.com/sutherland
Hurstville,Southern Suburbs,"30,000",2220,"Chinese 49.4%, English 6.6%, Nepalese 6.6%, Australian 5.1%, Greek 2.9%","$1,400,000.00","$1,600,000.00",14.29%,$590.00,"$680,000.00",$520.00,3%,12.9,25,30,Hurstville,"Westfield Hurstville, Chinese dining & shopping","Families, professionals, young professionals",3,7,5,4,6,5,8,8,6,7,5.9,https://sydneysuburbreviews.com/hurstville
Riverwood,Western Suburbs,"12,500",2210,"Chinese 27.2%, English 10.5%, Australian 10.2%, Lebanese 5.4%, Irish 3.1%","$890,000.00","$1,100,000.00",23.60%,$530.00,"$580,000.00",$470.00,29%,13.5,35,30,Riverwood,Salt Pan Creek Wetlands,"Families, small families, professionals",3,6,7,7,6,5,6,7,8,4,5.9,https://sydneysuburbreviews.com/riverwood
